name,year,wins,losses,goals_for,goals_against,win_percentage
Boston Bruins,1990,44,24,299,264,0.6470588235294118
Buffalo Sabres,1990,31,30,292,278,0.5081967213114754
Calgary Flames,1990,46,26,344,263,0.6388888888888888
Chicago Blackhawks,1990,49,23,284,211,0.6805555555555556
Detroit Red Wings,1990,34,38,273,298,0.4722222222222222
Edmonton Oilers,1990,37,37,272,272,0.5
Hartford Whalers,1990,31,38,238,276,0.4492753623188406
Los Angeles Kings,1990,46,24,340,254,0.6571428571428571
Minnesota North Stars,1990,27,39,256,266,0.4090909090909091
Montreal Canadiens,1990,39,30,273,249,0.5652173913043478
New Jersey Devils,1990,32,33,272,264,0.49230769230769234
New York Islanders,1990,25,45,223,290,0.35714285714285715
New York Rangers,1990,36,31,297,265,0.5373134328358209
Philadelphia Flyers,1990,33,37,252,267,0.4714285714285714
Pittsburgh Penguins,1990,41,33,342,305,0.5540540540540541
Quebec Nordiques,1990,16,50,236,354,0.24242424242424243
St. Louis Blues,1990,47,22,310,250,0.6811594202898551
Toronto Maple Leafs,1990,23,46,241,318,0.3333333333333333
Vancouver Canucks,1990,28,43,243,315,0.39436619718309857
Washington Capitals,1990,37,36,258,258,0.5068493150684932
Winnipeg Jets,1990,26,43,260,288,0.37681159420289856
Boston Bruins,1991,36,32,270,275,0.5294117647058824
Buffalo Sabres,1991,31,37,289,299,0.45588235294117646
Calgary Flames,1991,31,37,296,305,0.45588235294117646
Chicago Blackhawks,1991,36,29,257,236,0.5538461538461539
Detroit Red Wings,1991,43,25,320,256,0.6323529411764706
Edmonton Oilers,1991,36,34,295,297,0.5142857142857142
Hartford Whalers,1991,26,41,247,283,0.3880597014925373
Los Angeles Kings,1991,35,31,287,296,0.5303030303030303
Minnesota North Stars,1991,32,42,246,278,0.43243243243243246
Montreal Canadiens,1991,41,28,267,207,0.5942028985507246
New Jersey Devils,1991,38,31,289,259,0.5507246376811594
New York Islanders,1991,34,35,291,299,0.4927536231884058
New York Rangers,1991,50,25,321,246,0.6666666666666666
Philadelphia Flyers,1991,32,37,252,273,0.463768115942029
Pittsburgh Penguins,1991,39,32,343,308,0.5492957746478874
Quebec Nordiques,1991,20,48,255,318,0.29411764705882354
San Jose Sharks,1991,17,58,219,359,0.22666666666666666
St. Louis Blues,1991,36,33,279,266,0.5217391304347826
Toronto Maple Leafs,1991,30,43,234,294,0.410958904109589
Vancouver Canucks,1991,42,26,285,250,0.6176470588235294
Washington Capitals,1991,45,27,330,275,0.625
Winnipeg Jets,1991,33,32,251,244,0.5076923076923077
Boston Bruins,1992,51,26,332,268,0.6623376623376623
Buffalo Sabres,1992,38,36,335,297,0.5135135135135135
Calgary Flames,1992,43,30,322,282,0.589041095890411
Chicago Blackhawks,1992,47,25,279,230,0.6527777777777778
Detroit Red Wings,1992,47,28,369,280,0.6266666666666667
Edmonton Oilers,1992,26,50,242,337,0.34210526315789475
Hartford Whalers,1992,26,52,284,369,0.3333333333333333
Los Angeles Kings,1992,39,35,338,340,0.527027027027027
Minnesota North Stars,1992,36,38,272,293,0.4864864864864865
Montreal Canadiens,1992,48,30,326,280,0.6153846153846154
New Jersey Devils,1992,40,37,308,299,0.5194805194805194
New York Islanders,1992,40,37,335,297,0.5194805194805194
New York Rangers,1992,34,39,304,308,0.4657534246575342
Ottawa Senators,1992,10,70,202,395,0.125
Philadelphia Flyers,1992,36,37,319,319,0.4931506849315068
Pittsburgh Penguins,1992,56,21,367,268,0.7272727272727273
Quebec Nordiques,1992,47,27,351,300,0.6351351351351351
San Jose Sharks,1992,11,71,218,414,0.13414634146341464
St. Louis Blues,1992,37,36,282,278,0.5068493150684932
Tampa Bay Lightning,1992,23,54,245,332,0.2987012987012987
Toronto Maple Leafs,1992,44,29,288,241,0.6027397260273972
Vancouver Canucks,1992,46,29,346,278,0.6133333333333333
Washington Capitals,1992,43,34,325,286,0.5584415584415584
Winnipeg Jets,1992,40,37,322,320,0.5194805194805194
Mighty Ducks of Anaheim,1993,33,46,229,251,0.4177215189873418
Boston Bruins,1993,42,29,289,252,0.5915492957746479
Buffalo Sabres,1993,43,32,282,218,0.5733333333333334
Calgary Flames,1993,42,29,302,256,0.5915492957746479
Chicago Blackhawks,1993,39,36,254,240,0.52
Dallas Stars,1993,42,29,286,265,0.5915492957746479
Detroit Red Wings,1993,46,30,356,275,0.6052631578947368
Edmonton Oilers,1993,25,45,261,305,0.35714285714285715
Florida Panthers,1993,33,34,233,233,0.4925373134328358
Hartford Whalers,1993,27,48,227,288,0.36
Los Angeles Kings,1993,27,45,294,322,0.375
Montreal Canadiens,1993,41,29,283,248,0.5857142857142857
New Jersey Devils,1993,47,25,306,220,0.6527777777777778
New York Islanders,1993,36,36,282,264,0.5
New York Rangers,1993,52,24,299,231,0.6842105263157895
Ottawa Senators,1993,14,61,201,397,0.18666666666666668
Philadelphia Flyers,1993,35,39,294,314,0.47297297297297297
Pittsburgh Penguins,1993,44,27,299,285,0.6197183098591549
Quebec Nordiques,1993,34,42,277,292,0.4473684210526316
San Jose Sharks,1993,33,35,252,265,0.4852941176470588
St. Louis Blues,1993,40,33,270,283,0.547945205479452
Tampa Bay Lightning,1993,30,43,224,251,0.410958904109589
Toronto Maple Leafs,1993,43,29,280,243,0.5972222222222222
Vancouver Canucks,1993,41,40,279,276,0.5061728395061729
Washington Capitals,1993,39,35,277,263,0.527027027027027
Winnipeg Jets,1993,24,51,245,344,0.32
Mighty Ducks of Anaheim,1994,16,27,125,164,0.37209302325581395
Boston Bruins,1994,27,18,150,127,0.6
Buffalo Sabres,1994,22,19,130,119,0.5365853658536586
Calgary Flames,1994,24,17,163,135,0.5853658536585366
Chicago Blackhawks,1994,24,19,156,115,0.5581395348837209
Dallas Stars,1994,17,23,136,135,0.425
Detroit Red Wings,1994,33,11,180,117,0.75
