Make,Model,Year,Variant,Price,Location,Mileage
Honda,Civic 11th Generation,2022,Standard,7000000,Lahore,90912
Honda,Vezel,2014,Hybrid Z,4200000,Karachi,130726
Suzuki,Cultus,2015,EURO II,1630000,Lahore,120000
Daihatsu,Hijet,2016,Special,1900000,Karachi,126780
Honda,Life,2013,C,1850000,Lahore,113852
Toyota,Yaris Hatchback,2021,X,4600000,Karachi,36646
Toyota,Corolla,2022,Altis 1.6 X CVT-i,5900000,Lahore,50000
Mercedes,Benz C Class,2021,C180 Exclusive,190000000,Lahore,48000
KIA,Sportage,2020,AWD,6825000,Lahore,32000
Honda,Vezel,2019,Hybrid RS Honda Sensing,6600000,Lahore,116812
Honda,City,2016,1.3 i-VTEC,3100000,Muzaffar Gargh,128600
Toyota,Prado,2002,TZ 3.4,8500000,Other,113000
Suzuki,Bolan,2014,VX Euro II,1150000,Sahiwal,96000
Honda,City 5th (GM2) Generation,2018,1.3 i-VTEC Prosmatec,3500000,Lahore,75000
Toyota,Corolla,1983,DX,409999,Karachi,100000
Honda,N Wgn,2021,Custom,3300000,Islamabad,12000
Chevrolet,Joy,2008,1.0,994999,Lahore,165000
Daihatsu,Cuore,2009,CL,900000,Multan,47000
Toyota,Corolla,1986,,600000,Islamabad,150000
BMW,X1,2017,sDrive18i A/T,6000000,Rawalpindi,130924
Toyota,Fortuner,2021,2.7 V,140000000,Lahore,59000
Honda,Civic 11th Generation,2023,RS,8840000,Islamabad,49000
Honda,Civic,2020,1.5 RS Turbo,6600000,Karachi,59000
Toyota,Corolla,2016,GLi 1.3 VVTi,3570000,Kot addu,85991
Suzuki,Alto,2018,,1525000,Rawalpindi,86000
Honda,Civic 11th Generation,2023,RS,8840000,Islamabad,49000
Audi,e-tron,2020,55 quattro 300kW,227000000,Rawalpindi,15450
Honda,Civic,2017,Oriel 1.8 i-VTEC CVT,4800000,Gujranwala,139811
Toyota,Hilux,2013,Vigo Champ G,6200000,Gujranwala,136374
Suzuki,Cultus,2007,VXR,900000,Lahore,77037
KIA,Sportage,2022,AWD,7095000,Lahore,47000
Toyota,Corolla,2018,XLi VVTi,3975000,Lahore,57000
KIA,Picanto,2021,1.0 AT,2640000,Karachi,38000
Toyota,Corolla,2017,Altis Automatic 1.6,3995000,Karachi,87000
Toyota,Fortuner,2019,2.7 VVTi,111000000,Karachi,69000
Suzuki,Alto,2021,VXL AGS,2690000,Lahore,60000
Suzuki,Wagon R,2021,AGS,3200000,Lahore,24615
Toyota,Corolla,2016,GLi 1.3 VVTi,3570000,Kot addu,85991
Suzuki,Alto,2018,,1525000,Rawalpindi,86000
FAW,V2,2017,VCT-i,1400000,Lahore,98000
Toyota,Corolla,2018,GLi Automatic 1.3 VVTi,4000000,Karachi,89000
Toyota,Corolla,2016,Altis Grande CVT-i 1.8,4849000,Sargodha,94000
Suzuki,Bolan,1987,,450000,Peshawar,100000
Suzuki,Every,2012,Join Turbo,1600000,Karachi,200000
Honda,City 5th (GM2) Generation,2021,1.3 i-VTEC,4150000,Jahaniya,27000
Toyota,Corolla Cross,2019,,4000000,Lahore,50000
Hyundai,Tucson,2023,AWD A/T Ultimate,7975000,Lahore,31000
MG,HS,2021,Trophy,6250000,Islamabad,60000
Toyota,Probox,2007,F,2350000,Rawalpindi,200000
Toyota,Corolla,2018,Altis Grande CVT-i 1.8,5500000,Sargodha,96000
Honda,Civic,2021,Oriel 1.8 i-VTEC CVT,6175000,Karachi,55000
Suzuki,Alto,2014,ECO-S,2650000,Rawalpindi,85000
Daihatsu,Mira,2022,L,3550000,Karachi,16000
Toyota,Corolla,2009,XLi VVTi,2325000,Islamabad,67000
Toyota,Corolla,2013,GLi 1.3 VVTi,3800000,Rawalpindi,63000
Suzuki,Alto,2022,VXL AGS,2825000,Karachi,51267
Mercedes,Benz SLK Class,2012,,9500000,Lahore,118000
Suzuki,Alto,2019,VXL AGS,2425000,Karachi,63000
Toyota,Passo,2023,Moda G,4700000,Rawalpindi,35000
Honda,Accord,2005,VTi 2.4,3300000,Lahore,152604
Suzuki,Mehran,2009,VX,850000,Gujranwala,8986
KIA,Sportage,2024,FWD,8000000,Karachi,6608
