Title,Authors,PDF Link,Filename
"Data Uniformity Improves Training Efficiency and More, with a Convergence Framework Beyond the NTK Regime","Yuqing Wang, Shangding Gu",https://arxiv.org/pdf/2506.24120,2506.24120
Scout-Dose-TCM: Direct and Prospective Scout-Based Estimation of Personalized Organ Doses from Tube Current Modulated CT Exams,"Maria Jose Medrano, Sen Wang, Liyan Sun, Abdullah-Al-Zubaer Imran, Jennie Cao, Grant Stevens, Justin Ruey Tse, Adam S. Wang",https://arxiv.org/pdf/2506.24062,2506.24062
Supervised Diffusion-Model-Based PET Image Reconstruction,"George Webber, Alexander Hammers, Andrew P King, Andrew J Reader",https://arxiv.org/pdf/2506.24034,2506.24034
Lock Prediction for Zero-Downtime Database Encryption,"Mohamed Sami Rakha, Adam Sorrenti, Greg Stager, Walid Rjaibi, Andriy Miranskyy",https://arxiv.org/pdf/2506.23985,2506.23985
Toward Simple and Robust Contrastive Explanations for Image Classification by Leveraging Instance Similarity and Concept Relevance,"Yuliia Kaidashova, Bettina Finzel, Ute Schmid",https://arxiv.org/pdf/2506.23975,2506.23975
Leveraging the Potential of Prompt Engineering for Hate Speech Detection in Low-Resource Languages,"Ruhina Tabasshum Prome, Tarikul Islam Tamiti, Anomadarshi Barua",https://arxiv.org/pdf/2506.23930,2506.23930
Industrial brain: a human-like autonomous neuro-symbolic cognitive decision-making system,"Junping Wang, Bicheng Wang, Yibo Xuea, Yuan Xie",https://arxiv.org/pdf/2506.23926,2506.23926
Three-dimensional end-to-end deep learning for brain MRI analysis,"Radhika Juglan, Marta Ligero, Zunamys I. Carrero, Asier Rabasco, Tim Lenz, Leo Misera, Gregory Patrick Veldhuizen, Paul Kuntke, Hagen H. Kitzler, Sven Nebelung, Daniel Truhn, Jakob Nikolas Kather",https://arxiv.org/pdf/2506.23916,2506.23916
Accurate Mediterranean Sea forecasting via graph-based deep learning,"Daniel Holmberg, Emanuela Clementi, Italo Epicoco, Teemu Roos",https://arxiv.org/pdf/2506.23900,2506.23900
Low-latency vision transformers via large-scale multi-head attention,"Ronit D. Gross, Tal Halevi, Ella Koresh, Yarden Tzach, Ido Kanter",https://arxiv.org/pdf/2506.23832,2506.23832
Supercm: Revisiting Clustering for Semi-Supervised Learning,"Durgesh Singh, Ahcene Boubekki, Robert Jenssen, Michael C. Kampffmeyer",https://arxiv.org/pdf/2506.23824,2506.23824
Training of Spiking Neural Networks with Expectation-Propagation,"Dan Yao, Steve McLaughlin, Yoann Altmann",https://arxiv.org/pdf/2506.23757,2506.23757
Deep Learning-Based Semantic Segmentation for Real-Time Kidney Imaging and Measurements with Augmented Reality-Assisted Ultrasound,"Gijs Luijten, Roberto Maria Scardigno, Lisle Faray de Paiva, Peter Hoyer, Jens Kleesiek, Domenico Buongiorno, Vitoantonio Bevilacqua, Jan Egger",https://arxiv.org/pdf/2506.23721,2506.23721
MedSAM-CA: A CNN-Augmented ViT with Attention-Enhanced Multi-Scale Fusion for Medical Image Segmentation,"Peiting Tian, Xi Chen, Haixia Bi, Fan Li",https://arxiv.org/pdf/2506.23700,2506.23700
GUSL: A Novel and Efficient Machine Learning Model for Prostate Segmentation on MRI,"Jiaxin Yang, Vasileios Magoulianitis, Catherine Aurelia Christie Alexander, Jintang Xue, Masatomo Kaneko, Giovanni Cacciamani, Andre Abreu, Vinay Duddalwar, C. -C. Jay Kuo, Inderbir S. Gill, Chrysostomos Nikias",https://arxiv.org/pdf/2506.23688,2506.23688
Multi-Model Framework for Reconstructing Gamma-Ray Burst Light Curves,"A. Kaushal, A. Manchanda, M. G. Dainotti, K. Gupta, Z. Nogala, A. Madhan, S. Naqi, Ritik Kumar, V. Oad, N. Indoriya, Krishnanjan Sil, D. H. Hartmann, M. Bogdan, A. Pollo, JX. Prochaska, N. Fraija",https://arxiv.org/pdf/2506.23681,2506.23681
Partial Forward Blocking: A Novel Data Pruning Paradigm for Lossless Training Acceleration,"Dongyue Wu, Zilin Guo, Jialong Zuo, Nong Sang, Changxin Gao",https://arxiv.org/pdf/2506.23674,2506.23674
Diffusion Model-based Data Augmentation Method for Fetal Head Ultrasound Segmentation,"Fangyijie Wang, Kevin Whelan, Félix Balado, Guénolé Silvestre, Kathleen M. Curran",https://arxiv.org/pdf/2506.23664,2506.23664
A Nonlinear Low-rank Representation Model with Convolutional Neural Network for Imputing Water Quality Data,"Xin Liao, Bing Yang, Cai Yu",https://arxiv.org/pdf/2506.23629,2506.23629
Brain Tumor Detection through Thermal Imaging and MobileNET,"Roham Maiti, Debasmita Bhoumik",https://arxiv.org/pdf/2506.23627,2506.23627
Wireless Propagation Parameter Estimation with Convolutional Neural Networks,"Steffen Schieler, Sebastian Semper, Reiner Thomä",https://arxiv.org/pdf/2506.23621,2506.23621
SG-LDM: Semantic-Guided LiDAR Generation via Latent-Aligned Diffusion,"Zhengkang Xiang, Zizhao Li, Amir Khodabandeh, Kourosh Khoshelham",https://arxiv.org/pdf/2506.23606,2506.23606
Both Asymptotic and Non-Asymptotic Convergence of Quasi-Hyperbolic Momentum using Increasing Batch Size,"Kento Imaizumi, Hideaki Iiduka",https://arxiv.org/pdf/2506.23544,2506.23544
AFUNet: Cross-Iterative Alignment-Fusion Synergy for HDR Reconstruction via Deep Unfolding Paradigm,"Xinyue Li, Zhangkai Ni, Wenhan Yang",https://arxiv.org/pdf/2506.23537,2506.23537
When Test-Time Adaptation Meets Self-Supervised Models,"Jisu Han, Jihee Park, Dongyoon Han, Wonjun Hwang",https://arxiv.org/pdf/2506.23529,2506.23529
