Make,Model,Year,Variant,Price,Location,Mileage
Toyota,Passo,2011,X G Package,PKR 22.5 lacs,Karachi,"88,000 km"
Toyota,Corolla 8th (E110) Generation,1996,XE,PKR 22 lacs,Lahore,"129,000 km"
Toyota,Probox,2006,GL,PKR 25 lacs,Karachi,"190,000 km"
Suzuki,Swift,2013,DLX 1.3,PKR 20.9 lacs,Lahore,"100,000 km"
Hyundai,Sonata,2021,2.5,PKR 79.9 lacs,Lahore,"59,000 km"
Toyota,Fortuner,2022,Legender,PKR 1.8 crore,Karachi,"18,000 km"
Toyota,C-HR,2018,G-LED,PKR 79.5 lacs,Peshawar,"71,000 km"
Daehan,Shehzore,2008,,PKR 31 lacs,Islamabad,"1,000,000 km"
Honda,Zest,2010,Dynamic Special,PKR 18.9 lacs,Lahore,"89,000 km"
Honda,N Wgn,2017,Custom G L Package,PKR 28.9 lacs,Karachi,"100,000 km"
Toyota,Prado,2018,TX L Package 2.7,PKR 2.55 crore,Karachi,"56,000 km"
Hyundai,Tucson,2025,Hybrid Signature,PKR 1.27 crore,Lahore,10 km
MG,4,2025,,PKR 98.5 lacs,Lahore,50 km
Toyota,Aqua,2018,S,PKR 52 lacs,Wah cantt,"131,000 km"
Suzuki,Cultus,2008,VXRi,PKR 11.95 lacs,Chakwal,"71,124 km"
Toyota,Corolla,2012,XLi VVTi,PKR 22 lacs,Multan,"150,000 km"
Nissan,Dayz,2023,X,PKR 36.6 lacs,Lahore,"10,000 km"
Suzuki,Cultus,2014,,PKR 14.8 lacs,Tando Muhammad Khan,"100,000 km"
Toyota,Corolla,2012,GLi Automatic 1.6 VVTi,PKR 31.25 lacs,Faisalabad,"174,500 km"
Toyota,Corolla,2009,GLi 1.3 VVTi,PKR 24.5 lacs,Bhalwal,"245,000 km"
Suzuki,Every,2013,,PKR 20 lacs,Wah cantt,"170,000 km"
Adam,Revo,2017,1051cc,PKR 93 lacs,Karachi,"118,883 km"
Suzuki,Mehran,2016,VXR Euro II,PKR 10 lacs,Mirpur khas,"80,000 km"
Honda,City 5th (GM2) Generation,2021,1.3 i-VTEC,PKR 44 lacs,Jhelum,"20,000 km"
Toyota,Corolla,2022,Altis X Automatic 1.6,PKR 58.5 lacs,Sialkot,"36,928 km"
Suzuki,Alto,2004,VXR (CNG),PKR 7.3 lacs,Peshawar,80 km
Toyota,Corolla 9th (E120) Generation,2004,2.0D,PKR 19.5 lacs,Bhimber,150 km
Suzuki,Mehran,2005,VXR,PKR 8 lacs,Jhang,"100,000 km"
Toyota,Hilux,2011,Vigo G,PKR 35 lacs,Karachi,"200,000 km"
Toyota,Corolla,2016,Altis Automatic 1.6,PKR 45.25 lacs,Faisalabad,"68,000 km"
Nissan,Sentra,2005,,PKR 10.3 lacs,Islamabad,"170,000 km"
Suzuki,Cultus,2009,VXLi,PKR 10.5 lacs,Sadiqabad,"16,540 km"
Daehan,Shehzore,2008,,PKR 31 lacs,Islamabad,"1,000,000 km"
Honda,Zest,2010,Dynamic Special,PKR 18.9 lacs,Lahore,"89,000 km"
Honda,N Wgn,2017,Custom G L Package,PKR 28.9 lacs,Karachi,"100,000 km"
Toyota,Prado,2018,TX L Package 2.7,PKR 2.55 crore,Karachi,"56,000 km"
Hyundai,Tucson,2025,Hybrid Signature,PKR 1.27 crore,Lahore,10 km
Toyota,Mark X,2005,,PKR 48.5 lacs,Lahore,"130,000 km"
Mercedes,Benz E Class,2007,E 200 Kompressor Elegance,PKR 58 lacs,Lahore,"180,000 km"
Toyota,Sienta,2019,,PKR 60 lacs,Lahore,"57,000 km"
Honda,Civic,2019,Oriel 1.8 i-VTEC CVT,PKR 58 lacs,Lahore,"85,000 km"
Toyota,Vitz,2019,Hybrid U 1.5,PKR 46.5 lacs,Lahore,"85,000 km"
Toyota,Corolla Axio,2017,Hybrid 1.5,PKR 60 lacs,Karachi,"83,000 km"
Hyundai,Sonata,2021,2.5,PKR 92 lacs,Lahore,"40,000 km"
Suzuki,Swift,2013,DLX 1.3,PKR 20.9 lacs,Lahore,"100,000 km"
Hyundai,Sonata,2021,2.5,PKR 79.9 lacs,Lahore,"59,000 km"
Suzuki,Mehran,2016,VXR Euro II,PKR 10 lacs,Mirpur khas,"80,000 km"
Honda,City 5th (GM2) Generation,2021,1.3 i-VTEC,PKR 44 lacs,Jhelum,"20,000 km"
Toyota,Corolla,2022,Altis X Automatic 1.6,PKR 58.5 lacs,Sialkot,"36,928 km"
Suzuki,Alto,2004,VXR (CNG),PKR 7.3 lacs,Peshawar,80 km
Toyota,Corolla 9th (E120) Generation,2004,2.0D,PKR 19.5 lacs,Bhimber,150 km
Suzuki,Mehran,2005,VXR,PKR 8 lacs,Jhang,"100,000 km"
Toyota,Hilux,2011,Vigo G,PKR 35 lacs,Karachi,"200,000 km"
Toyota,Corolla,2016,Altis Automatic 1.6,PKR 45.25 lacs,Faisalabad,"68,000 km"
Nissan,Sentra,2005,,PKR 10.3 lacs,Islamabad,"170,000 km"
Suzuki,Cultus,2009,VXLi,PKR 10.5 lacs,Sadiqabad,"16,540 km"
Toyota,Fortuner,2022,Legender,PKR 1.8 crore,Karachi,"18,000 km"
Toyota,C-HR,2018,G-LED,PKR 79.5 lacs,Peshawar,"71,000 km"
Suzuki,Cultus,2008,VXRi,PKR 10.9 lacs,Faisalabad,"106,000 km"
Suzuki,Mehran,2017,VX Euro II,PKR 9.5 lacs,Bahawalnagar,"78,000 km"
Hyundai,Santro,2004,Club,PKR 9.45 lacs,Lahore,"24,320 km"
Daihatsu,Cuore,2003,CL,PKR 7.9 lacs,Rawalpindi,"100,000 km"
Nissan,Dayz,2018,,PKR 27 lacs,Faisalabad,"110,000 km"
Toyota,Corolla,2017,GLi Automatic 1.3 VVTi,PKR 41 lacs,Karachi,"66,613 km"
Suzuki,Alto,2023,VXR,PKR 26.95 lacs,Islamabad,"32,000 km"
Suzuki,Alto,2010,VXR,PKR 12 lacs,Mian Wali,"167,000 km"
Toyota,Land Cruiser,1987,70 series 30th anniversary edition (facelift),PKR 28 lacs,Mirpur A.K.,"1,000 km"
Daihatsu,Mira,2012,ES,PKR 21 lacs,Karachi,"91,000 km"
Suzuki,Alto,2025,VXR Upgraded,PKR 32 lacs,Khushab,950 km
Hyundai,Tucson,2022,AWD A/T Ultimate,PKR 78.5 lacs,Sialkot,"32,000 km"
Suzuki,Swift,2025,GLX CVT,PKR 50.4 lacs,Islamabad,685 km
Isuzu,D-Max,2019,V-Cross Automatic 3.0,PKR 79.5 lacs,Karachi,"54,000 km"
Toyota,Passo,2022,X,PKR 41.85 lacs,Karachi,"9,000 km"
Toyota,Prado,2019,TX L Package 2.7,PKR 2.69 crore,Lahore,"63,000 km"
Daihatsu,Move,2021,L SA 3,PKR 35.5 lacs,Lahore,"24,619 km"
Toyota,Corolla,2014,GLi 1.3 VVTi,PKR 34.75 lacs,Lahore,"125,000 km"
Honda,Civic,2021,Oriel 1.8 i-VTEC CVT,PKR 59.75 lacs,Karachi,"37,000 km"
Proton,Saga,2024,1.3L Ace A/T,PKR 38 lacs,Faisalabad,"34,623 km"
Toyota,Corolla Cross,2024,1.8 HEV X,PKR 96 lacs,Karachi,30 km
Toyota,Corolla,2022,Altis Grande X CVT-i 1.8 Black Interior,PKR 71 lacs,Multan,"42,000 km"
Suzuki,Alto,2012,ECO-S,PKR 19.8 lacs,Mardan,"150,000 km"
Suzuki,Cultus,2008,VXRi,PKR 11 lacs,Swabi,"180,000 km"
Toyota,Corolla,2019,GLi 1.3 VVTi,PKR 52 lacs,Multan,"23,950 km"
Suzuki,Baleno,2005,JXR,PKR 10.8 lacs,Wah cantt,"394,500 km"
Toyota,Corolla Cross,2021,Hybrid Z,PKR 78 lacs,Faisalabad,"75,000 km"
Hyundai,Santro,2004,Exec,PKR 9.7 lacs,Mian Channu,"100,000 km"
Honda,Civic Rebirth,2013,VTi Oriel Prosmatec 1.8 i-VTEC,PKR 33 lacs,Faisalabad,"122,000 km"
Toyota,Corolla 9th (E120) Generation,2004,2.0D,PKR 19.4 lacs,Bhimber,"100,000 km"
Toyota,Corolla,2001,XE-G,PKR 18.5 lacs,Islamabad,"150,000 km"
Toyota,Hilux,2021,Revo V Automatic 2.8,PKR 1.25 crore,Karachi,"15,000 km"
Suzuki,Bolan,2019,Cargo Van Euro ll,PKR 1.5 lacs,Karachi,"120,000 km"
Honda,Civic,2020,Oriel 1.8 i-VTEC CVT,PKR 65 lacs,Lahore,"56,000 km"
Honda,Zest,2010,Dynamic Special,PKR 18.9 lacs,Lahore,"89,000 km"
Suzuki,Baleno,2005,JXR,PKR 12.95 lacs,Rawalpindi,"120,000 km"
MG,HS,2021,Trophy,PKR 65 lacs,Lahore,"74,211 km"
Honda,City,2006,i-DSI,PKR 17.9 lacs,Sargodha,"195,500 km"
Honda,City,2008,i-DSI,PKR 30 lacs,Chishtian,"34,000 km"
Honda,N Wgn,2017,Custom G L Package,PKR 28.9 lacs,Karachi,"100,000 km"
Daihatsu,Mira,2015,L,PKR 22.75 lacs,Karachi,"83,700 km"
Toyota,Passo,2015,X,PKR 35 lacs,Karachi,"72,000 km"
Toyota,Prado,2018,TX L Package 2.7,PKR 2.55 crore,Karachi,"56,000 km"
Toyota,Corolla,2015,GLi 1.3 VVTi,PKR 35 lacs,Lahore,"185,000 km"
Hyundai,Tucson,2025,Hybrid Signature,PKR 1.27 crore,Lahore,10 km
