Name,Developer,Image URL,Link,Return to Player,Volatility,Provider,Number of Paylines,Layout,Min Bet,Max Bet,Release Date,Last Update
Cleopatra,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/cleo.jpg,https://www.vegasslotsonline.com/igt/cleopatra/,95.02,Medium,IGT,20,5-3,0.01,600,8/17/2015,6/20/2025
Spartacus Gladiator of Rome,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/spartacus-gladiator.jpg,https://www.vegasslotsonline.com/wms/spartacus-gladiator-of-rome/,,,,,,,,,
Triple Diamond,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/triple-diamond.jpg,https://www.vegasslotsonline.com/igt/triple-diamond/,95.06,High,IGT,9,3-3,0.9,180,6/6/2015,6/20/2025
Lucky Larry's Lobstermania 2,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/lobstermania2.png,https://www.vegasslotsonline.com/igt/lucky-larrys-lobstermania-2/,96.52,Medium,IGT,40,5-4,60,300,7/14/2016,6/20/2025
White Orchid,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/white-orchid.png,https://www.vegasslotsonline.com/igt/white-orchid/,95.03,Medium,IGT,40,5-4,0.01,1600,8/10/2015,6/20/2025
Siberian Storm,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/sstorm.jpg,https://www.vegasslotsonline.com/igt/siberian-storm/,94.91,Medium,IGT,720,5-5,0.5,250,11/10/2015,6/20/2025
88 Fortunes,Shuffle Master,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/88-fortunes.jpg,https://www.vegasslotsonline.com/shuffle-master/88-fortunes/,96,High,Shuffle Master,243,5-3,0.88,88,10/11/2016,6/15/2025
Double Diamond,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/ddiamond.jpg,https://www.vegasslotsonline.com/igt/double-diamond/,95.44,Medium,IGT,1,3-2,0.1,250,6/5/2015,6/20/2025
Golden Goddess,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/ggoddess.jpg,https://www.vegasslotsonline.com/igt/golden-goddess/,96,Low Medium,IGT,40,5-3,0.4,200,8/16/2015,6/18/2025
Da Vinci Diamonds,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/dadiamonds.jpg,https://www.vegasslotsonline.com/igt/da-vinci-diamonds/,94.94,Low Medium,IGT,20,5-3,0.2,600,11/10/2015,6/12/2025
Cats,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/cats-igt.jpg,https://www.vegasslotsonline.com/igt/cats/,94.93,Medium,IGT,30,5-3,0.01,900,8/15/2015,6/19/2025
Bier Haus,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/bier-haus.jpg,https://www.vegasslotsonline.com/wms/bier-haus/,,,,,,,,,
Zeus,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/zeus.jpg,https://www.vegasslotsonline.com/wms/zeus/,95.97,Medium,WMS,30,5-3,0.01,150,10/29/2015,4/1/2025
Pharaoh's Fortune,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/pharaohs-fortune.png,https://www.vegasslotsonline.com/igt/pharaohs-fortune/,94.07,Medium,IGT,15,5-3,0.15,150,8/15/2015,6/21/2025
Da Vinci Diamonds Dual Play,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/da-vinci-diamonds-dual-play.png,https://www.vegasslotsonline.com/igt/da-vinci-diamonds-dual-play/,,,,,,,,,
Stinkin' Rich,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/stinkin-rich-igt.jpg,https://www.vegasslotsonline.com/igt/stinkin-rich/,,,,,,,,,
Double da Vinci Diamonds,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/double-da-vinci-diamonds.png,https://www.vegasslotsonline.com/high-5-games/double-da-vinci-diamonds/,,,,,,,,,
Invaders from the Planet Moolah,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/invaders.jpg,https://www.vegasslotsonline.com/wms/invaders-from-the-planet-moolah/,,,,,,,,,
Pixies of the Forest,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/pixies-of-the-forest-slot.jpg,https://www.vegasslotsonline.com/igt/pixies-of-the-forest/,93,Low Medium,IGT,99,5-3,0.33,990,11/10/2015,6/19/2025
Cleopatra Plus,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/cleopatra-plus.jpg,https://www.vegasslotsonline.com/igt/cleopatra-plus/,,,,,,,,,
Solar Disc,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/solar-disc.png,https://www.vegasslotsonline.com/igt/solar-disc/,,,,,,,,,
Kitty Glitter,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/kitty-glitter-slot.jpg,https://www.vegasslotsonline.com/igt/kitty-glitter/,,,,,,,,,
Goldfish,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/goldfish-slot-machine.jpg,https://www.vegasslotsonline.com/wms/goldfish/,,,,,,,,,
